id,name,id_facility_type,description,website_url,deleted_at
db774869-2a05-5f6b-846f-18ca831bd2a2,"Hospic, Tibora Andrašovana, Banská Bystrica, (DOM Božieho milosrdenstva, n.o.)",d686eaf7-95ff-53f1-80a2-fe7fad87b4ab,"Import e-VÚC | Identifikátor: 66-42000912-A0001 | Poskytovateľ: DOM Božieho milosrdenstva, n.o. | IČO: 42000912 | Odbornosť: ústavná hospicová starostlivosť",,
78126033-4423-5dfb-9551-9d68cf36ba73,"Hospic, Lazovná, Banská Bystrica, (PLEJÁDY s.r.o.)",d686eaf7-95ff-53f1-80a2-fe7fad87b4ab,Import e-VÚC | Identifikátor: 66-55279201-A0001 | Poskytovateľ: PLEJÁDY s.r.o. | IČO: 55279201 | Odbornosť: ústavná hospicová starostlivosť,,
4d9aa34a-e69f-5d27-95db-2a195bd46f70,"Dom ošetrovateľskej starostlivosti, Námestie Ludvika Svobodu, Banská Bystrica, (Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica)",963bdcf6-40df-5feb-8884-79cce8b47d04,Import e-VÚC | Identifikátor: 51-00165549-A0005 | Poskytovateľ: Fakultná nemocnica s poliklinikou F. D. Roosevelta Banská Bystrica | IČO: 00165549 | Odbornosť: ústavná ošetrovateľská starostlivosť,,
0e369020-3ac2-525f-b7a8-323d451fe2b1,"Dom ošetrovateľskej starostlivosti, Cesta k nemocnici, Banská Bystrica, (ZELENÝ SEN, s. r. o.)",963bdcf6-40df-5feb-8884-79cce8b47d04,"Import e-VÚC | Identifikátor: 66-44184425-A0006 | Poskytovateľ: ZELENÝ SEN, s. r. o. | IČO: 44184425 | Odbornosť: ústavná ošetrovateľská starostlivosť",,
7ddc1eb4-a392-5e56-834c-f2680d2f02c0,"Dom ošetrovateľskej starostlivosti, Kuzmányho nábrežie, Zvolen, (Nemocnica AGEL Zvolen a.s.)",963bdcf6-40df-5feb-8884-79cce8b47d04,Import e-VÚC | Identifikátor: 66-45594929-A0051 | Poskytovateľ: Nemocnica AGEL Zvolen a.s. | IČO: 45594929 | Odbornosť: ústavná ošetrovateľská starostlivosť,,
5c44ee62-3846-5bd1-bf98-5cc4a7a7eed8,"Dom ošetrovateľskej starostlivosti, Kuzmányho nábrežie, Zvolen, (Nemocnica AGEL Zvolen a.s.)",963bdcf6-40df-5feb-8884-79cce8b47d04,Import e-VÚC | Identifikátor: 51-45594929-A0051 | Poskytovateľ: Nemocnica AGEL Zvolen a.s. | IČO: 45594929 | Odbornosť: ústavná ošetrovateľská starostlivosť,,
54e0fa5f-e8a4-5379-96b9-9cf4b370a4e1,"Dom ošetrovateľskej starostlivosti, Litovelská, Revúca, (Nemocnica s poliklinikou, n.o. Revúca)",963bdcf6-40df-5feb-8884-79cce8b47d04,"Import e-VÚC | Identifikátor: 66-45736324-A0038 | Poskytovateľ: Nemocnica s poliklinikou, n.o. Revúca | IČO: 45736324 | Odbornosť: ústavná ošetrovateľská starostlivosť",,
c404cfa2-d041-5d8f-8c3e-1ee418c36a09,"Dom ošetrovateľskej starostlivosti, Bratská, Banská Štiavnica, (Nemocnica AGEL Žiar nad Hronom a Banská Štiavnica s.r.o.)",963bdcf6-40df-5feb-8884-79cce8b47d04,Import e-VÚC | Identifikátor: 66-54588952-A0043 | Poskytovateľ: Nemocnica AGEL Žiar nad Hronom a Banská Štiavnica s.r.o. | IČO: 54588952 | Odbornosť: ústavná ošetrovateľská starostlivosť,,
719d5edb-a0c8-582d-afd8-642aca7ab203,"Dom ošetrovateľskej starostlivosti, Bratská, Banská Štiavnica, (Penta Hospitals SK, a. s.)",963bdcf6-40df-5feb-8884-79cce8b47d04,"Import e-VÚC | Identifikátor: 66-35960884-A0043 | Poskytovateľ: Svet zdravia, a.s. | IČO: 35960884 | Odbornosť: ústavná ošetrovateľská starostlivosť",,
c360fbd6-00fe-503e-a61b-1409954057ae,"Dom ošetrovateľskej starostlivosti, Šrobárova, Rimavská Sobota, (Penta Hospitals SK, a. s.)",963bdcf6-40df-5feb-8884-79cce8b47d04,"Import e-VÚC | Identifikátor: 66-35960884-A0118 | Poskytovateľ: Svet zdravia, a.s. | IČO: 35960884 | Odbornosť: ústavná ošetrovateľská starostlivosť",,
560616de-818a-5037-90d8-e0ab29f11898,"Dom ošetrovateľskej starostlivosti, Jesenského, Hnúšťa, (GEMERCLINIC, n.o.)",963bdcf6-40df-5feb-8884-79cce8b47d04,"Import e-VÚC | Identifikátor: 66-45736987-A0018 | Poskytovateľ: GEMERCLINIC, n.o. | IČO: 45736987 | Odbornosť: ústavná ošetrovateľská starostlivosť",,
