facility_id,evuc_identifier,specialization_id,specialization_slug,specialization_name,is_primary
db774869-2a05-5f6b-846f-18ca831bd2a2,66-42000912-A0001,0e151b4c-4756-5dc1-8c8e-c78126f1f94f,ustavna-hospicova-starostlivost,ústavná hospicová starostlivosť,true
78126033-4423-5dfb-9551-9d68cf36ba73,66-55279201-A0001,0e151b4c-4756-5dc1-8c8e-c78126f1f94f,ustavna-hospicova-starostlivost,ústavná hospicová starostlivosť,true
4d9aa34a-e69f-5d27-95db-2a195bd46f70,51-00165549-A0005,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
0e369020-3ac2-525f-b7a8-323d451fe2b1,66-44184425-A0006,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
7ddc1eb4-a392-5e56-834c-f2680d2f02c0,66-45594929-A0051,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
5c44ee62-3846-5bd1-bf98-5cc4a7a7eed8,51-45594929-A0051,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
54e0fa5f-e8a4-5379-96b9-9cf4b370a4e1,66-45736324-A0038,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
c404cfa2-d041-5d8f-8c3e-1ee418c36a09,66-54588952-A0043,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
719d5edb-a0c8-582d-afd8-642aca7ab203,66-35960884-A0043,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
c360fbd6-00fe-503e-a61b-1409954057ae,66-35960884-A0118,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
560616de-818a-5037-90d8-e0ab29f11898,66-45736987-A0018,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
75ee35d4-7569-5dd2-bbbd-02f8984a4c6f,66-37954571-A0075,0e151b4c-4756-5dc1-8c8e-c78126f1f94f,ustavna-hospicova-starostlivost,ústavná hospicová starostlivosť,true
16500d7a-c34f-5e8b-a2f4-632d2988fca1,66-37951513-A0001,0e151b4c-4756-5dc1-8c8e-c78126f1f94f,ustavna-hospicova-starostlivost,ústavná hospicová starostlivosť,true
9606c7e9-dc3e-53ba-9f13-db194c7e586b,66-31908977-A0011,576e4e5d-9414-55f1-8d67-39f43974aa1f,ustavna-osetrovatelska-starostlivost,ústavná ošetrovateľská starostlivosť,true
8325d810-6492-5763-902a-ad34dda06dca,51-37889346-A0001,cd65def4-aabd-5a20-b17f-36e7dec4b1e7,pediatria,pediatria,true
5990c470-5448-560f-ab5d-527666685fae,66-50253808-A0001,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
5990c470-5448-560f-ab5d-527666685fae,66-50253808-A0001,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
5990c470-5448-560f-ab5d-527666685fae,66-50253808-A0001,02d6b1a4-e96f-5c79-a92b-8f37a4de82c2,mgr-anna-babelova-sestra,Mgr. Anna Babeľová (sestra),false
66eac63b-0a93-5674-859a-2293f688c56a,51-36289485-A0002,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
66eac63b-0a93-5674-859a-2293f688c56a,51-36289485-A0002,81a5ce77-0e8c-5181-bcf5-6417fbd1e9e5,osetrovatelstvo,ošetrovateľstvo,false
66eac63b-0a93-5674-859a-2293f688c56a,51-36289485-A0002,bdb71984-dd2c-595f-a7b1-4b7db9c6cb9d,lekari-sestry,"Lekári, sestry:",false
66eac63b-0a93-5674-859a-2293f688c56a,51-36289485-A0002,5d349403-49d4-5580-8814-3e1662a7b0cf,mgr-alena-liptakova-sestra,Mgr. Alena Liptáková (sestra),false
66eac63b-0a93-5674-859a-2293f688c56a,51-36289485-A0002,abd9d4c5-c207-5004-9a8f-331e719e3330,mgr-nadezda-pavlovicova-sestra,Mgr. Nadežda Pavlovičová (sestra),false
e77bc120-2d2f-58cf-9d0e-b9dd6b5de213,66-42317614-A0001,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
15b646cb-e817-5bd5-a860-305686655c86,66-55513484-A0001,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
192aa61b-c2da-5d67-bdd9-5376d410c702,66-35659726-A0003,28203317-779e-5e46-8036-4ba356a27fe5,domaca-hospicova-starostlivost,domáca hospicová starostlivosť,true
c2abf3e2-b374-5e22-8bfb-47dd33e460be,66-35659726-A0002,29f4647a-cb59-5ec8-8eb8-eea01ed55263,domaca-osetrovatelska-starostlivost,domáca ošetrovateľská starostlivosť,true
95d30cbd-eb05-5506-9bbb-9f587f897066,66-37889346-A0001,28203317-779e-5e46-8036-4ba356a27fe5,domaca-hospicova-starostlivost,domáca hospicová starostlivosť,true
