id,slug,category,name
91a3b752-84fa-5514-84a9-f7c044fd2036,adriana-kasacova-sestra,e-vuc,Adriana Kasáčová (sestra)
160de991-7509-53bd-aa80-7461767c8592,alena-chabadova-sestra,e-vuc,Alena Chabadová (sestra)
fb9c3516-7f95-5e50-bceb-42c710ccbb8b,alena-dankova-sestra,e-vuc,Alena Danková (sestra)
de118095-95dc-5b9d-a11c-09a8eaaec3d1,alena-knezelova-sestra,e-vuc,Alena Knezelová (sestra)
695fd3c4-bbad-5990-9390-e1c1e3dc33a2,alica-krizianova-sestra,e-vuc,Alica Križianová (sestra)
a6901be7-6119-5faa-98cc-2ebc47e199bb,andrea-beraxova-sestra,e-vuc,Andrea Beraxová (sestra)
1f41cf44-a231-59db-9214-44f6aa1f0429,andrea-patrasova-sestra,e-vuc,Andrea Patrášová (sestra)
96780b7c-3fa6-55da-ab1c-5b92ecc515b1,anna-giertlova-sestra,e-vuc,Anna Giertlová (sestra)
1d579f19-dfb8-5053-be8e-004687f43846,anna-hulinova-sestra,e-vuc,Anna Hulínová (sestra)
75114225-7245-5f0e-bcdd-72e72dffb4f6,anna-pancikova-sestra,e-vuc,Anna Pančíková (sestra)
7b6c493a-de0c-59d9-be33-f74c433e11dc,barbora-parickova-sestra,e-vuc,Barbora Páričková (sestra)
0c1a0366-6c19-544d-b569-1c2e3036b07f,bc-anna-korenova-sestra,e-vuc,Bc. Anna Koreňová (sestra)
f81ae8d7-138a-53a6-b546-83f054fd4898,bc-bozena-makova-sestra,e-vuc,Bc. Božena Maková (sestra)
5bfb32a0-cf04-533b-ba05-0757067eec58,bc-jana-hakelova-lekar,e-vuc,Bc. Jana Hakelová (lekár)
0db0f3a3-c3f0-5691-a9ed-1a9b71924bcc,bc-katarina-bohusova-sestra,e-vuc,Bc. Katarína Bohušová (sestra)
96e20426-9838-5b43-984d-fa6838075520,bc-michaela-charvatova-sestra,e-vuc,Bc. Michaela Charvátová (sestra)
